foodName,Type,Country,Region,Ingredient,Calorie,imgUrl,Description
Dak galbi,Spicy stir-fried chicken,Korea,,Chicken,788 ,//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Korean_cuisine-Dakgalbi-01.jpg/220px-Korean_cuisine-Dakgalbi-01.jpg,"Dak-galbi (닭갈비), or spicy stir-fried chicken, is a popular Korean dish made by stir-frying marinated diced chicken in a gochujang-based sauce with sweet potatoes, cabbage, perilla leaves, scallions, tteok (rice cake), and other ingredients.[2] In Korean, galbi means rib. But Dak-galbi is not actually chicken's rib. Many dak-galbi restaurants have round hot plates that are built into the tables. Lettuce and perilla leaves are served as ssam (wrap) vegetables.[3]"
Samgyeopsal,Samgyeopsal-guiGrilled pork belly,Korea,,Pork belly,,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Samgyeopsal-gui.jpg/220px-Samgyeopsal-gui.jpg,"Samgyeopsal (삼겹살, 三겹살, lit. 'three-layer meat'), samgyeopsal-gui (삼겹살구이), or grilled pork belly is a type of gui (grilled dish) in Korean cuisine."
Makchang gui,Gui,Korea,,Beef abomasum or pork rectum,61 ,//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Makchang_2.jpg/220px-Makchang_2.jpg,"Makchang (막창; ""last viscus"") or so-makchang (소막창; ""beef last viscus"") is a Korean dish of either the abomasum (the fourth and final stomach compartment in ruminants) of cattle or the gui (grilled dish) made of beef abomasum.[1] The latter is also called makchang-gui (막창구이; ""grilled last viscus"") or so-makchang-gui (소막창구이; ""grilled beef last viscus"").[2] Dwaeji-makchang (돼지막창; ""pork last viscus"") means either the rectum of pig or the gui made of pork rectum, and the grilled dish is also referred to as dwaeji-makchang-gui (돼지막창구이; ""grilled pork last viscus"").[3]"
Gobchang,Gopchang-gui,Korea,,Beef small intestine or pork big intestines,145 ,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Gopchang_2.jpg/220px-Gopchang_2.jpg,"Gopchang[2] (Hangul: 곱창) can refer to the small intestines of cattle (or big intestines of pig) or to a gui (grilled dish) made of the small intestines.[1][2] The latter is also called gopchang-gui (곱창구이; ""grilled intestines""). The tube-shaped offal is chewy with rich elastic fibers.[3] In Korean cuisine, it is stewed in a hot pot (gopchang-jeongol, 곱창전골), grilled over a barbecue (gopchang-gui), boiled in soup with other intestines (naejang-tang), or made into a sausage (sundae).[4]"
Saengseon gui,,,,,,//upload.wikimedia.org/wikipedia/en/thumb/0/06/Wiktionary-logo-v2.svg/30px-Wiktionary-logo-v2.svg.png,
jogae gui,,,,,,//upload.wikimedia.org/wikipedia/en/thumb/0/06/Wiktionary-logo-v2.svg/30px-Wiktionary-logo-v2.svg.png,
Deodeok gui,,,,,,//upload.wikimedia.org/wikipedia/en/thumb/0/06/Wiktionary-logo-v2.svg/30px-Wiktionary-logo-v2.svg.png,
Beoseot gui,,,,,,//upload.wikimedia.org/wikipedia/en/thumb/0/06/Wiktionary-logo-v2.svg/30px-Wiktionary-logo-v2.svg.png,
Gim,,,,,,//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,GIM or Gim may refer to:
Galbijjim,Braised short ribs,Korea,,Short ribs,,//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Korean_braised_beef_short_ribs-Galbijjim.jpg/220px-Korean_braised_beef_short_ribs-Galbijjim.jpg,"Galbi-jjim[1] (갈비찜) or braised short ribs[1] is a variety of jjim or Korean steamed dish made with galbi (갈비, short rib). Beef galbi is sometimes referred to as ""gari"" (가리), so the dish can be called ""garijjim"".[2] Galbijjim is generally made with beef or pork (돼지, dweji) short ribs. In the latter case, it is called dweji galbijjim (돼지갈비찜). [3]"
Andong jjimdak,Jjim,Korea,,Chicken,,//upload.wikimedia.org/wikipedia/commons/thumb/1/17/Andong-jjimdak.jpg/220px-Andong-jjimdak.jpg,"Andong-jjimdak[1] (안동찜닭) is a variety of jjim (a Korean steamed or boiled dish), which originated in the city of Andong, Gyeongsangbuk-do Province and is made with chicken, various vegetables marinated in a ganjang (Korean soy sauce) based sauce. The name literally means ""steamed chicken of Andong.""[2][3]"
Agujjim,Jjim,Korea,,blackmouth angler,,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Agujjim.jpg/220px-Agujjim.jpg,"Agwi-jjim[1] (아귀찜) or agu-jjim (아구찜) is a Korean jjim dish made with blackmouth angler, the fish known as agwi in Korean. The name of the dish is usually translated as ""braised spicy angler""."
Jeonbokjjim,,,,,,//upload.wikimedia.org/wikipedia/en/thumb/0/06/Wiktionary-logo-v2.svg/30px-Wiktionary-logo-v2.svg.png,
Gyeran jjim,Steamed eggs,Korea,,Eggs,,//upload.wikimedia.org/wikipedia/commons/thumb/2/20/Gyeranjjim.jpg/220px-Gyeranjjim.jpg,"Gyeran-jjim (계란찜) or steamed eggs is a type of jjim, Korean steamed dish.[1][2] It is a custardy, casserole-like banchan (side dish), often seasoned with saeu-jeot (salted shrimp) or myeongnan-jeot (salted pollock roe) and topped with scallions and toasted sesame seeds.[3][4][5] The ideal gyeran-jjim is light and fluffy."
Hobakjeon,,,,,,//upload.wikimedia.org/wikipedia/en/thumb/0/06/Wiktionary-logo-v2.svg/30px-Wiktionary-logo-v2.svg.png,
Dubujeon,,,,,,//upload.wikimedia.org/wikipedia/en/thumb/0/06/Wiktionary-logo-v2.svg/30px-Wiktionary-logo-v2.svg.png,
Sannakji,Hoe,Korea,,Long arm octopus,,//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Korean.cuisine-Sannakji.hoe-01.jpg/220px-Korean.cuisine-Sannakji.hoe-01.jpg,"San-nakji (산낙지) is a variety of hoe (raw dish) made with long arm octopus (Octopus minor), a small octopus species called nakji in Korean and is sometimes translated into ""baby octopus"" due to its relatively small size compared to the giant octopus (Enteroctopus dofleini).[1] The octopuses are most commonly killed before being cut into small pieces and served, with the nerve activity in the octopus' tentacles making the pieces move posthumously on the plate whilst served.[2][3][4] The octopus' highly complex nervous system, with two-thirds of its neurons localised in the nerve cords of its arms, lets the octopus show a variety of reflex actions that persist even when they have no input from the brain.[5][6]  Less commonly, a live octopus is eaten whole.[7] The dish is sprinkled with sesame oil and toasted sesame seeds.[8]"
Yukhoe,육회,,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/1001_yukhoe.jpg/220px-1001_yukhoe.jpg,Yukhoe (Korean: 육회 [jukʰø]) is a raw meat dish in Korean cuisine that resembles a tartare. It is most commonly made of beef but it can come in various kinds and cuts of meat.
Sukhoe,Hoe,Korea,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/94/Muneo-sukhoe_1.jpg/220px-Muneo-sukhoe_1.jpg,"Sukhoe (Korean: 숙회) is a variety of hoe dishes consisting of blanched vegetables, seafoods, or offals.[1][2] Sukhoe is usually dipped in chojang, the mixture made of gochujang and vinegar."
Ganghoe,Hoe,Korea,,,,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Jjokpa-ganghoe.jpg/220px-Jjokpa-ganghoe.jpg,"Ganghoe (Korean: 강회) is a variety of hoe dish of rolled and tied ribbons made with blanched vegetables such as minari (Oeananthe javanica) and silpa (thread scallions).[1] Sometimes, the vegetables are bundled into ribbons, while other times, they are tied around layered ingredients such as pyeonyuk (pressed meat slices), egg garnish, and chili threads or blanched seafood (called sukhoe).[2][3] Vegetarian versions are a part of Korean temple cuisine.[4] Ganghoe is usually dipped in chojang, the mixture made of gochujang and vinegar.[2]"
Namul,나물,,,,,//upload.wikimedia.org/wikipedia/commons/thumb/2/28/KOCIS_Korea_President_Park_Arirang_Concert_07_%2810552593495%29.jpg/220px-KOCIS_Korea_President_Park_Arirang_Concert_07_%2810552593495%29.jpg,Soups & stews
Japchae,Korea,Korea,,Sweet potato starch noodles,37.5 ,//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Polish_Korean_Cuisine_and_Culture_Exchanges_Gradmother%E2%80%99s_Recipes_05.jpg/220px-Polish_Korean_Cuisine_and_Culture_Exchanges_Gradmother%E2%80%99s_Recipes_05.jpg,"Japchae (잡채; 雜菜) is a savory and slightly sweet dish of stir-fried glass noodles and vegetables that is popular in Korean cuisine.[2] Japchae is typically prepared with dangmyeon (당면, 唐麵), a type of cellophane noodles made from sweet potato starch; the noodles are mixed with assorted vegetables, meat, mushrooms, and seasoned with soy sauce and sesame oil.[3][4][5][6]"
Tteokguk,Rice cake soup,Korea,,Tteok,120 ,//upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Tteokguk.jpg/220px-Tteokguk.jpg,"Tteokguk[2] (떡국) or sliced rice cake soup[2] is a traditional Korean dish eaten during the celebration of the Korean New Year. The dish consists of the broth/soup (guk) with thinly sliced rice cakes (tteok).  It is tradition to eat tteokguk on New Year's Day because it is believed to grant the people good luck for the year and gain a year of age. It is usually garnished with thin julienned cooked eggs, marinated meat, gim (김),[3] and sesame oil (참기름)."
Haejangguk,Hangover soup,Korea,,,,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Korean_soup-Seonjiguk-01.jpg/220px-Korean_soup-Seonjiguk-01.jpg,"Haejang-guk[1] (해장국, 解酲-) or hangover soup[1] refers to every kind of guk or soup eaten as a hangover cure in Korean cuisine. It means ""soup to chase a hangover""[2] and is also called sulguk (Korean: 술국).[3][4] It usually consists of dried Napa cabbage, vegetables and meat in a hearty beef broth. One type of haejangguk, Seonjiguk, includes sliced congealed ox blood (similar to black pudding) and another type, Sundaeguk includes a kind of blood sausage made with intestine stuffed with pig's blood and other ingredients."
Miyeok guk,Seaweed soup,Korea,,Brown seaweed or Wakame,,//upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"Miyeok-guk[1] (미역국) or seaweed soup[1] is a Korean soup whose main ingredient is miyeok, or seaweed."
Manduguk,Dumpling soup,Korea,,Mandu,88 ,//upload.wikimedia.org/wikipedia/commons/thumb/6/69/Mandu-guk.jpg/220px-Mandu-guk.jpg,"Mandu-guk[2] (만두국, 饅頭-) or dumpling soup[2] is a variety of Korean soup (guk) made by boiling mandu (dumplings) in a beef broth or anchovy broth mixed with beaten egg.[3]"
Galbitang,Short rib soup,Korea,,Short ribs,,//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Galbitang_%EA%B0%88%EB%B9%84%ED%83%95_beeniru.jpg/220px-Galbitang_%EA%B0%88%EB%B9%84%ED%83%95_beeniru.jpg,"Galbi-tang[1] (갈비탕, --湯) or short rib soup[1] is a variety of guk, or Korean soup, made primarily from beef short ribs along with stewing beef, radish, onions, and other ingredients. The short ribs, or ""galbi"" also refers to grilled short ribs in Korean barbecue while the suffix tang is another name for guk. Hence, the Korean name literally means ""short ribs soup"" and is also called garitang, or galitang. The clear and hearty soup is made by slowly simmering galbi in water for a long time[2] and is eaten as a meal.[3] It is similar to seolleongtang, a soup made from the bones of ox legs.[4][5]"
Oritang,Guk,Korea,,"Duck, vegetables",,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikibooks-logo-en-noslogan.svg/16px-Wikibooks-logo-en-noslogan.svg.png,"Oritang (오리탕) is a variety of guk, Korean soup or stew made by slowly simmering duck and various vegetables.[1][2] Ori means ""duck"" and tang is another name for guk in Korean. While its recipe depends on region and taste, the soup is generally in a form of a clear soup. Some variants can contain chili pepper powder to make the soup spicy like maeuntang (spicy fish soup)[3] or roasted perilla seeds to thicken the dish.[4] Oritang is a local specialty of Gyeonggi Province and South Jeolla Province,[2] especially Gwangju City.[5] In Gwangju, about 20 restaurants specializing in oritang and other duck dishes are centered on Yudong Alley in Buk-gu (Northern District).[4][6]"
Samgyetang,Ginseng chicken soup,Korea,,"Chicken, ginseng",,//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Samgye-tang_2.jpg/220px-Samgye-tang_2.jpg,"Samgye-tang (삼계탕; 蔘鷄湯) or ginseng chicken soup,[1] meaning ginseng (Kor. sam) - chicken (Kor. gye) - soup (Kor. tang) in Korean, consists primarily of a whole young chicken (poussin) filled with garlic, rice, jujube, and ginseng.[3] Samgye-tang is a Korean traditional soup for body health.[4] Samgye-tang is a representative summer health food. Soup made with chicken that is slightly larger than the chick is called Yeonggye Baeksuk, and the chicken is divided into half is called Banggye-tang."
Seolleongtang,Ox bone soup,Korea,,"Beef bones, head, trotters, knee cartilage, and intestines",,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Seolleongtang.jpg/220px-Seolleongtang.jpg,"Seolleongtang[1] (설렁탕) or ox bone soup[1] is a Korean broth tang (soup) made from ox bones (mostly leg bones), brisket and other cuts. Seasoning is generally done at the table according to personal taste by adding salt, ground black pepper, red pepper, minced garlic, or chopped spring onions. It is a local dish of Seoul.[2]"
Maeuntang,Spicy fish stew,Korea,,Fish,,//upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"Maeun-tang[1] (매운탕) or spicy fish stew[1] is a hot spicy Korean cuisine fish soup boiled with gochujang (Korean red chili pepper paste), '고춧가루'(chili powder), and various vegetables.[2] The name is a combination of two words: '매운', which derives from '맵다', meaning ""hot and spicy""; and '탕(湯)', meaning ""soup"". As its main ingredient, fresh or saltwater fish is cut into several pieces and boiled with green vegetables such as watercress and garland chrysanthemum. Onion, radish, chilis, crown daisy, garlic, and sometimes zucchini and bean curd are added to the mixture to absorb the chili pepper paste which is the main flavoring of this dish. It is then seasoned with chili powder, garlic, soy sauce, and additional gochujang may be added once more to taste."
Gamjatang,Pork back-bone stew,Korea,,Pork backbone,,//upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"Gamja-tang[1] (감자탕) or pork back-bone stew[1] is a spicy Korean soup made from the spine or neck bones of a pig. It often contains potatoes, cellophane noodles, dried radish greens, perilla leaves, green onions, hot peppers and ground sesame seeds.[2]"
Daktoritang,Jjim,Korea,,Chicken,,//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Korean.food-Dakbokemtang-01.jpg/220px-Korean.food-Dakbokemtang-01.jpg,"Dak-bokkeum-tang (닭볶음탕, ---湯), Dak-dori-tang (닭도리탕) or braised spicy chicken is a traditional Korean dish made by boiling chunks of chicken with vegetables and spices.[1] The ingredients are sometimes stir-fried before being boiled.[2] It is a jjim or jorim-like dish, and the recipe varies across the Korean peninsula. Common ingredients include potatoes, carrots, green and red chili peppers, dried red chili peppers, scallions, onions, garlic, ginger, gochujang (chili paste), gochutgaru (chili powder), soy sauce, and sesame oil.[3]"
Chueotang,Loach soup,Korea,,Pond loach,,//upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Chueotang%2C_Gangjin%2C_Jeollanam-do.jpg/220px-Chueotang%2C_Gangjin%2C_Jeollanam-do.jpg,"Chueo-tang (추어탕; 鰍魚湯) or loach soup is a tang (soup) made from pond loach, a freshwater fish.[1][2] The southwestern Korean city of Namwon is known for its version of the dish.[3][4][5]"
Doenjang jjigae,Soybean paste stew,Korea,,Doenjang,160 ,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Doenjang-jjigae.jpg/220px-Doenjang-jjigae.jpg,"Doenjang-jjigae (Korean: 된장찌개; Korean: [twen.dʑaŋ.t͈ɕi.ɡɛ]), referred in English as soybean paste stew, is a Korean traditional jjigae (stew-type dish), made from the primary ingredient of doenjang (soybean paste), and additional optional ingredients vegetables, seafood, and meat.[2] It is one of the most iconic and popular traditional dishes in Korean cuisine, and is often eaten regularly regardless of occasion or time of day. Doenjang-jjigae was initially made with home-made doenjang; however, due to extensive industrialisation of soybean paste, households and restaurants nowadays use factory-made doenjang instead as their ingredient. From traditional to modern Korean cuisine, doenjang has become one of the most frequently used jang (sauce/paste)."
Cheonggukjang,Goguryeo (Korea),Goguryeo (Korea),East Asia,Soybean,,//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Text_document_with_red_question_mark.svg/40px-Text_document_with_red_question_mark.svg.png,"Cheonggukjang (Korean: 청국장; Hanja: 淸麴醬) is a traditional Korean food made by fermenting soybeans. It contains whole, as well as ground soybeans."
Kimchi jjigae,Kimchi stew,Korea,,Kimchi,,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Korean_stew-Kimchi_jjigae-05.jpg/220px-Korean_stew-Kimchi_jjigae-05.jpg,Soups & stews
Sundubu jjigae,Soft tofu stew,Korea,,Sundubu (extra soft tofu),,//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Sundubu-jjigae.jpg/220px-Sundubu-jjigae.jpg,"Sundubu-jjigae[1] (순두부찌개, -豆腐--) or soft tofu stew[1] is a jjigae (찌개, Korean stew) in Korean cuisine. The dish is made with freshly curdled soft tofu (which has not been strained and pressed), vegetables, sometimes mushrooms, onion, optional seafood (commonly oysters, mussels, clams and shrimp), optional meat (commonly beef or pork), and gochujang (chili paste) or gochu garu (chili powder). The dish is assembled and cooked directly in the serving vessel, which is traditionally made of thick, robust porcelain, but can also be ground out of solid stone. A raw egg can be put in the jjigae just before serving, and the dish is delivered while bubbling vigorously. It is typically eaten with a bowl of cooked white rice and several banchan (side dishes).[2]"
Kongbiji jjigae,,,,,,//upload.wikimedia.org/wikipedia/en/thumb/0/06/Wiktionary-logo-v2.svg/30px-Wiktionary-logo-v2.svg.png,
Saeujeot jjigae,Salted shrimp,Korea,,Shrimp,,//upload.wikimedia.org/wikipedia/commons/thumb/6/64/Saeujeot_%28fermented_shrimp%29_jeotgal_%28Caridea%29_3.jpg/220px-Saeujeot_%28fermented_shrimp%29_jeotgal_%28Caridea%29_3.jpg,"Saeu-jeot[1] (새우젓) is a variety of jeotgal, salted and fermented food made with small shrimp in Korean cuisine. It is the most consumed jeotgal along with myeolchi-jeot (멸치젓, salted anchovy jeot) in South Korea. The name consists of the two Korean words, saeu (새우 shrimp) and jeot. Saeu-jeot is widely used throughout Korean cuisine but is mostly used as an ingredient in kimchi and dipping pastes. The shrimp used for making saeu-jeot are called jeot-saeu (젓새우) and are smaller and have thinner shells than ordinary shrimp.[2]"
Budae jjigae,"Sausage stew, Army stew",South Korea (with American influence),Uijeongbu,"Ham, hot dogs, Spam, baked beans, kimchi, instant noodles, gochujang, American cheese",,//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Korean.cuisine-Budae.jjigae-01.jpg/220px-Korean.cuisine-Budae.jjigae-01.jpg,"Budae-jjigae (부대찌개; literally ""army base stew"") or spicy sausage stew is a type of Korean jjigae (stew), made with ham, sausage, spam, baked beans, kimchi, instant noodles, and gochujang.[1] The dish was created shortly after the armistice that ended the Korean War, using the scrounged or smuggled surplus foods from U.S. military bases.[2] Although the dish was born in the period of post-war impoverishment, it continued to be popular during the period of rapid growth, and is still popular today. There are many restaurants specializing in budae-jjigae; the most famous ones on the budae-jjigae street in Uijeongbu, where the dish was allegedly first made. The dish is now a popular anju (accompaniment to alcoholic drinks) and a comfort food cooked on the table in a big pot in front of the diners and enjoyed as it is cooked for many Koreans.[3][2]"
Sinseollo,Royal hot pot,Korea,,"Meat, fish, vegetables",310 ,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Korean_royal_court_cuisine-Sinseollo-Casserole-01.jpg/220px-Korean_royal_court_cuisine-Sinseollo-Casserole-01.jpg,"Sinseollo[2] (신선로; 神仙爐) or royal hot pot[2] is an elaborate dish consisting of meatballs, small and round jeonyueo (전유어), mushrooms, and vegetables cooked in a rich broth in Korean royal court cuisine. The dish is a form of jeongol (elaborate chowder-like stew). It is served in a large bundt pan-shaped vessel with a hole in the center, in which hot embers are placed to keep the dish hot throughout the meal.[3]"
Gopchang jeongol,Beef tripe hot pot,Korea,,Gopchang (beef small intestines),,//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Korean_cuisine-Gobchang_jeongol-01.jpg/220px-Korean_cuisine-Gobchang_jeongol-01.jpg,"Gopchang-jeongol[1] (곱창전골) or beef tripe hot pot[1] is a spicy Korean stew or casserole made by boiling beef tripe, vegetables, and seasonings in beef broth.[2][3] Gopchang refers to beef small intestines,[4][5] while jeongol refers to a category of stew or casserole in Korean cuisine.[6] Although the dish is mainly based on beef gopchang, other parts of beef innards are also used to give the dish a richer flavor and chewy texture.[7]"
Bibimbap,Bap,Korea,East Asia,,,//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Dolsot-bibimbap.jpg/220px-Dolsot-bibimbap.jpg,
Boribap,,,,,,//upload.wikimedia.org/wikipedia/en/thumb/0/06/Wiktionary-logo-v2.svg/30px-Wiktionary-logo-v2.svg.png,
Nurungji,"List
 ‘’gratén’’ - Haiti
 cucayo – the Caribbean
 kerak nasi – Indonesian
 kaning tutóng – Filipino
 guōbā (锅巴(s); 鍋巴(t)) – Mandarin Chinese
 faan6 ziu1 (饭焦(s); 飯焦(t)) – Cantonese Chinese
 nurungji (누룽지) – Korean
 okoge (お焦げ) – Japanese
 qazmagh (qazmağ) or qazandibi (qazandibi)– 
Azerbaijani
 tah deeg (ته دیگ) – 
Persian
""bnkr"" (بنکڕ) – 
Kurdish
 hakakeh (حكاكه) - Iraqi Arabic
 socarrat - Valencian and Catalan",,,Rice,,//upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,
Ogokbap,Five-grain rice,Korea,,"Glutinous rice, proso millet, sorghum, black beans, and red beans",123 ,//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ogokbap.jpg/220px-Ogokbap.jpg,"Ogok-bap[2] (오곡밥) or five-grain rice[2] is a bap made of glutinous rice mixed with proso millet, sorghum, black beans, and red beans.[3] It is one of the most representative dishes of Daeboreum, the first full moon of the year in the Korean lunar calendar.[4] In the past, the custom of eating ogokbap with boreum-namul (vegetables) and bureom (nuts) on this day helped people replenish nutrients that have been lost during the winter months, when food was scarce.[5] Today, ogokbap is still enjoyed by Koreans for its nutritional and health benefits. It is a common diet food, and an increasing number of people replace their daily white rice with ogokbap, due to a rise in lifestyle diseases like high blood pressure, diabetes, and angina.[5]"
Patbap,East Asia,,East Asia,"Rice, adzuki beans",,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/140111_Azuki_Museum_Himeji_Hyogo_pref_Japan11bs.jpg/220px-140111_Azuki_Museum_Himeji_Hyogo_pref_Japan11bs.jpg,"Red bean rice, called patbap (팥밥) in Korean, sekihan (赤飯) in Japanese and hóngdòu fàn (红豆饭) in Chinese, is an East Asian rice dish consisting of rice cooked with red beans."
Kongnamulbap,,,,,,//upload.wikimedia.org/wikipedia/en/thumb/0/06/Wiktionary-logo-v2.svg/30px-Wiktionary-logo-v2.svg.png,
Kimchi bokkeumbap,Kimchi-bokkeum-bap,Korea,,,,//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Kimchi-bokkeum-bap.jpg/220px-Kimchi-bokkeum-bap.jpg,Soups & stews
Ggakdugi,깍두기,,,,,//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Korean.food-kkakdugi-01.jpg/220px-Korean.food-kkakdugi-01.jpg,
Baek kimchi,White kimchi,Korea,,Napa cabbage,,//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Triple_White_Kimchi_04.jpg/220px-Triple_White_Kimchi_04.jpg,"Baek-kimchi[1] (백김치) or white kimchi[1] is a variety of kimchi made without the chili pepper powder commonly used for fermenting kimchi in Korean cuisine.[2] Baek kimchi has a mild and clean flavor, which appeals to children and the elderly, to whom the regular kimchi might be too spicy. [3] Baek kimchi consists of salted napa cabbage, radish, minari, spring onions, Korean pear, chestnuts, jujube, ginger, garlic, salt, sugar, and a little bit of chili threads as garnish.[4]"
